Player Name,Number,Team
Malcolm Brogdon,11,POR
Moses Brown,10,POR
Toumani Camara,33,POR
Jerami Grant,9,POR
Ashton Hagans,19,POR
Scoot Henderson,00,POR
Skylar Mays,5,POR
Justin Minaya,24,POR
Taze Moore,76,POR
Kris Murray,8,POR
Duop Reath,26,POR
Rayan Rupert,72,POR
Shaedon Sharpe,17,POR
Anfernee Simons,1,POR
Matisse Thybulle,4,POR
Ish Wainright,23,POR
Jabari Walker,34,POR
Robert Williams,35,POR
Harrison Barnes,40,SAC
Chris Duarte,3,SAC
Kessler Edwards,17,SAC
Keon Ellis,23,SAC
Jordan Ford,31,SAC
De'Aaron Fox,5,SAC
Kevin Huerter,9,SAC
Colby Jones,20,SAC
Mason Jones,8,SAC
Alex Len,25,SAC
Trey Lyles,41,SAC
JaVale McGee,00,SAC
Davion Mitchell,15,SAC
Malik Monk,0,SAC
Keegan Murray,13,SAC
Filip Petrušev,33,SAC
Domantas Sabonis,10,SAC
Jalen Slawson,18,SAC
Juan Toscano-Anderson,95,SAC
Sasha Vezenkov,7,SAC
Dominick Barlow,26,SAS
Charles Bassey,28,SAS
Jamaree Bouyea,15,SAS
Malaki Branham,22,SAS
Julian Champagnie,30,SAS
Sidy Cissoko,25,SAS
Zach Collins,23,SAS
Mamadi Diakite,29,SAS
David Duke Jr.,7,SAS
Devonte' Graham,4,SAS
RaiQuan Gray,41,SAS
Keldon Johnson,3,SAS
Tre Jones,33,SAS
Sandro Mamukelashvili,54,SAS
Doug McDermott,17,SAS
Cedi Osman,16,SAS
Jeremy Sochan,10,SAS
Devin Vassell,24,SAS
Victor Wembanyama,1,SAS
Blake Wesley,14,SAS
Precious Achiuwa,5,TOR
Ochai Agbaji,30,TOR
OG Anunoby,3,TOR
Scottie Barnes,4,TOR
RJ Barrett,9,TOR
Chris Boucher,25,TOR
Bruce Brown,11,TOR
D.J. Carton,3,TOR
Gradey Dick,1,TOR
Malachi Flynn,22,TOR
Javon Freeman-Liberty,0,TOR
Mouhamadou Gueye,16,TOR
Ron Harper Jr.,8,TOR
Kira Lewis Jr.,3,TOR
Jalen McDaniels,2,TOR
Markquis Nowell,24,TOR
Jordan Nwora,13,TOR
Kelly Olynyk,41,TOR
Jakob Poeltl,19,TOR
Jontay Porter,"11, 34",TOR
Otto Porter Jr.,32,TOR
Immanuel Quickley,5,TOR
Jahmi'us Ramsey,37,TOR
Dennis Schröder,17,TOR
Pascal Siakam,43,TOR
Kobi Simmons,8,TOR
Garrett Temple,"14, 17",TOR
Gary Trent Jr.,33,TOR
Malik Williams,35,TOR
Thaddeus Young,21,TOR
Ochai Agbaji,30,UTA
Darius Bazley,21,UTA
Jordan Clarkson,00,UTA
John Collins,20,UTA
Kris Dunn,11,UTA
Simone Fontecchio,16,UTA
Keyonte George,3,UTA
Taylor Hendricks,0,UTA
Talen Horton-Tucker,5,UTA
Johnny Juzang,33,UTA
Walker Kessler,24,UTA
Kira Lewis Jr.,13,UTA
Kenneth Lofton Jr.,34,UTA
Lauri Markkanen,23,UTA
Kelly Olynyk,41,UTA
Micah Potter,25,UTA
Jason Preston,10,UTA
Luka Šamanić,19,UTA
Brice Sensabaugh,8,UTA
Collin Sexton,2,UTA
Omer Yurtseven,77,UTA
Deni Avdija,8,WAS
Marvin Bagley III,35,WAS
Patrick Baldwin Jr.,7,WAS
Jules Bernard,14,WAS
Jared Butler,4,WAS
Justin Champagnie,9,WAS
Bilal Coulibaly,0,WAS
Johnny Davis,1,WAS
Hamidou Diallo,9,WAS
Daniel Gafford,21,WAS
Danilo Gallinari,88,WAS
Anthony Gill,16,WAS
Richaun Holmes,22,WAS
Trey Jemison,50,WAS
Tyus Jones,5,WAS
Corey Kispert,24,WAS
Kyle Kuzma,33,WAS
Mike Muscala,35,WAS
Eugene Omoruyi,97,WAS
Jordan Poole,13,WAS
Ryan Rollins,9,WAS
Landry Shamet,20,WAS
Tristan Vukcevic,00,WAS
Delon Wright,55,WAS
